"País de nacimiento Agresor","Suicidio","Convivencia","Denuncia agresor","Tramo de edad Agresor","Tramo de edad Víctima","Comunidad autónoma","Pareja - Expareja","Año","Mes","Número de mujeres víctimas mortales","Número de hijos e hijas menores huérfanos"
"España","No hubo tentativa","Sí","No había denuncia","18-20 años","21-30 años","Andalucía","Pareja","Año 2012","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","18-20 años","21-30 años","Andalucía","Pareja en fase de separación","Año 2006","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","18-20 años","21-30 años","Cataluña","Pareja","Año 2009","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","16-17 años","Andalucía","Pareja","Año 2023","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","18-20 años","Comunidad de Madrid","Pareja","Año 2012","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Andalucía","Pareja","Año 2012","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Aragón","Pareja","Año 2008","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Castilla-La Mancha","Pareja","Año 2006","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Castilla-La Mancha","Pareja","Año 2023","Enero","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Cataluña","Pareja","Año 2007","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Extremadura","Pareja","Año 2015","Marzo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","21-30 años","Galicia","Pareja en fase de separación","Año 2007","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","31-40 años","Comunitat Valenciana","Pareja","Año 2020","Marzo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","31-40 años","País Vasco","Pareja","Año 2012","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","21-30 años","51-60 años","Cataluña","Pareja","Año 2012","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Andalucía","Pareja","Año 2010","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Illes Balears","Pareja","Año 2008","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Canarias","Pareja","Año 2017","Marzo","1.0","0.0"
