,pais_nac_agresor,suicidio,convivencia,edad_agresor,edad_victima,comunidad_autonoma,estado,año,mes,n_victimas_mortales,hijos_huerfanos
0,España,No hubo tentativa,Sí,18-20 años,21-30 años,Andalucía,Pareja,2012,Abril,1.0,0.0
1,España,No hubo tentativa,Sí,18-20 años,21-30 años,Andalucía,Pareja en fase de separación,2006,Diciembre,1.0,0.0
2,España,No hubo tentativa,Sí,18-20 años,21-30 años,Cataluña,Pareja,2009,Agosto,1.0,0.0
3,España,No hubo tentativa,Sí,21-30 años,16-17 años,Andalucía,Pareja,2023,Febrero,1.0,0.0
4,España,No hubo tentativa,Sí,21-30 años,18-20 años,Comunidad de Madrid,Pareja,2012,Noviembre,1.0,0.0
5,España,No hubo tentativa,Sí,21-30 años,21-30 años,Andalucía,Pareja,2012,Octubre,1.0,0.0
6,España,No hubo tentativa,Sí,21-30 años,21-30 años,Aragón,Pareja,2008,Abril,1.0,0.0
7,España,No hubo tentativa,Sí,21-30 años,21-30 años,Castilla-La Mancha,Pareja,2006,Agosto,1.0,0.0
8,España,No hubo tentativa,Sí,21-30 años,21-30 años,Castilla-La Mancha,Pareja,2023,Enero,1.0,1.0
9,España,No hubo tentativa,Sí,21-30 años,21-30 años,Cataluña,Pareja,2007,Septiembre,1.0,0.0
10,España,No hubo tentativa,Sí,21-30 años,21-30 años,Extremadura,Pareja,2015,Marzo,1.0,1.0
11,España,No hubo tentativa,Sí,21-30 años,21-30 años,Galicia,Pareja en fase de separación,2007,Febrero,1.0,0.0
12,España,No hubo tentativa,Sí,21-30 años,31-40 años,Comunitat Valenciana,Pareja,2020,Marzo,1.0,1.0
13,España,No hubo tentativa,Sí,21-30 años,31-40 años,País Vasco,Pareja,2012,Marzo,1.0,0.0
14,España,No hubo tentativa,Sí,21-30 años,51-60 años,Cataluña,Pareja,2012,Enero,1.0,0.0
15,España,No hubo tentativa,Sí,31-40 años,21-30 años,Andalucía,Pareja,2010,Septiembre,1.0,0.0
16,España,No hubo tentativa,Sí,31-40 años,21-30 años,Illes Balears,Pareja,2008,Septiembre,1.0,0.0
17,España,No hubo tentativa,Sí,31-40 años,21-30 años,Canarias,Pareja,2017,Marzo,1.0,0.0
18,España,No hubo tentativa,Sí,31-40 años,21-30 años,Cataluña,Pareja,2015,Marzo,1.0,2.0
19,España,No hubo tentativa,Sí,31-40 años,21-30 años,Cataluña,Pareja,2022,Septiembre,1.0,0.0
20,España,No hubo tentativa,Sí,31-40 años,21-30 años,Comunitat Valenciana,Pareja,2013,Octubre,1.0,0.0
21,España,No hubo tentativa,Sí,31-40 años,21-30 años,Comunitat Valenciana,Pareja,2019,Febrero,1.0,5.0
22,España,No hubo tentativa,Sí,31-40 años,21-30 años,País Vasco,Pareja,2008,Octubre,1.0,0.0
23,España,No hubo tentativa,Sí,31-40 años,31-40 años,Andalucía,Pareja,2014,Agosto,1.0,0.0
24,España,No hubo tentativa,Sí,31-40 años,31-40 años,Andalucía,Pareja,2016,Noviembre,1.0,3.0
25,España,No hubo tentativa,Sí,31-40 años,31-40 años,Aragón,Pareja,2018,Junio,1.0,1.0
26,España,No hubo tentativa,Sí,31-40 años,31-40 años,Illes Balears,Pareja en fase de separación,2016,Agosto,1.0,1.0
27,España,No hubo tentativa,Sí,31-40 años,31-40 años,Canarias,Pareja,2017,Agosto,1.0,0.0
28,España,No hubo tentativa,Sí,31-40 años,31-40 años,Castilla y León,Pareja en fase de separación,2016,Octubre,1.0,2.0
29,España,No hubo tentativa,Sí,31-40 años,31-40 años,Castilla-La Mancha,Pareja,2013,Septiembre,1.0,3.0
30,España,No hubo tentativa,Sí,31-40 años,31-40 años,Castilla-La Mancha,Pareja,2016,Enero,1.0,1.0
31,España,No hubo tentativa,Sí,31-40 años,31-40 años,Cataluña,Pareja,2006,Agosto,1.0,0.0
32,España,No hubo tentativa,Sí,31-40 años,31-40 años,Cataluña,Pareja,2009,Octubre,1.0,0.0
33,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2009,Septiembre,1.0,0.0
34,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2014,Agosto,1.0,2.0
35,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2015,Diciembre,1.0,2.0
36,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2018,Septiembre,1.0,1.0
37,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2020,Marzo,1.0,2.0
38,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2021,Diciembre,1.0,1.0
39,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunidad de Madrid,Pareja en fase de separación,2013,Marzo,1.0,1.0
40,España,No hubo tentativa,Sí,31-40 años,41-50 años,Canarias,Pareja,2020,Septiembre,1.0,0.0
41,España,No hubo tentativa,Sí,31-40 años,41-50 años,Castilla-La Mancha,Pareja,2018,Marzo,1.0,1.0
42,España,No hubo tentativa,Sí,31-40 años,41-50 años,Cataluña,Pareja,2021,Abril,1.0,0.0
43,España,No hubo tentativa,Sí,31-40 años,41-50 años,Comunitat Valenciana,Pareja en fase de separación,2016,Julio,1.0,2.0
44,España,No hubo tentativa,Sí,31-40 años,41-50 años,Galicia,Pareja,2013,Diciembre,1.0,0.0
45,España,No hubo tentativa,Sí,31-40 años,41-50 años,Comunidad de Madrid,Pareja,2007,Enero,1.0,0.0
46,España,No hubo tentativa,Sí,41-50 años,21-30 años,Andalucía,Pareja,2023,Agosto,1.0,0.0
47,España,No hubo tentativa,Sí,41-50 años,21-30 años,Aragón,Pareja,2012,Junio,1.0,0.0
48,España,No hubo tentativa,Sí,41-50 años,21-30 años,Comunidad de Madrid,Pareja,2019,Febrero,1.0,0.0
49,España,No hubo tentativa,Sí,41-50 años,21-30 años,Comunidad de Madrid,Pareja en fase de separación,2018,Agosto,1.0,2.0
50,España,No hubo tentativa,Sí,41-50 años,21-30 años,País Vasco,Pareja,2013,Mayo,1.0,1.0
51,España,No hubo tentativa,Sí,41-50 años,31-40 años,Andalucía,Pareja,2006,Octubre,1.0,0.0
52,España,No hubo tentativa,Sí,41-50 años,31-40 años,Andalucía,Pareja en fase de separación,2011,Septiembre,1.0,0.0
53,España,No hubo tentativa,Sí,41-50 años,31-40 años,Castilla y León,Pareja,2008,Mayo,1.0,0.0
54,España,No hubo tentativa,Sí,41-50 años,31-40 años,Castilla-La Mancha,Pareja,2006,Julio,1.0,0.0
55,España,No hubo tentativa,Sí,41-50 años,31-40 años,Castilla-La Mancha,Pareja,2017,Febrero,1.0,1.0
56,España,No hubo tentativa,Sí,41-50 años,31-40 años,Cataluña,Pareja,2007,Abril,1.0,0.0
57,España,No hubo tentativa,Sí,41-50 años,31-40 años,Cataluña,Pareja,2011,Mayo,1.0,0.0
58,España,No hubo tentativa,Sí,41-50 años,31-40 años,Cataluña,Pareja,2021,Julio,1.0,0.0
59,España,No hubo tentativa,Sí,41-50 años,31-40 años,Cataluña,Pareja,2023,Enero,1.0,5.0
60,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunitat Valenciana,Pareja,2009,Junio,1.0,0.0
61,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunidad de Madrid,Pareja,2010,Diciembre,1.0,0.0
62,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunidad de Madrid,Pareja,2013,Enero,1.0,1.0
63,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunidad de Madrid,Pareja,2017,Mayo,1.0,1.0
64,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunidad de Madrid,Pareja en fase de separación,2023,Noviembre,1.0,2.0
65,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunidad Foral de Navarra,Pareja,2022,Enero,1.0,0.0
66,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja,2007,Mayo,1.0,0.0
67,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja en fase de separación,2009,Mayo,1.0,0.0
68,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja en fase de separación,2015,Mayo,1.0,0.0
69,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja en fase de separación,2019,Julio,1.0,2.0
70,España,No hubo tentativa,Sí,41-50 años,41-50 años,Aragón,Pareja en fase de separación,2015,Diciembre,1.0,0.0
71,España,No hubo tentativa,Sí,41-50 años,41-50 años,Castilla-La Mancha,Pareja,2020,Diciembre,1.0,1.0
72,España,No hubo tentativa,Sí,41-50 años,41-50 años,Castilla-La Mancha,Pareja,2022,Diciembre,1.0,0.0
73,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2011,Noviembre,1.0,0.0
74,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2016,Diciembre,1.0,1.0
75,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2019,Julio,1.0,2.0
76,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2019,Diciembre,1.0,3.0
77,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2020,Enero,1.0,1.0
78,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2021,Junio,1.0,0.0
79,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2023,Septiembre,1.0,0.0
80,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja en fase de separación,2015,Junio,1.0,2.0
81,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja en fase de separación,2015,Agosto,1.0,1.0
82,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja en fase de separación,2022,Abril,1.0,0.0
83,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunitat Valenciana,Pareja,2008,Febrero,1.0,0.0
84,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunitat Valenciana,Pareja,2014,Octubre,1.0,1.0
85,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunitat Valenciana,Pareja en fase de separación,2015,Julio,1.0,2.0
86,España,No hubo tentativa,Sí,41-50 años,41-50 años,Galicia,Pareja,2007,Febrero,1.0,0.0
87,España,No hubo tentativa,Sí,41-50 años,41-50 años,Galicia,Pareja,2008,Diciembre,1.0,0.0
88,España,No hubo tentativa,Sí,41-50 años,41-50 años,Galicia,Pareja,2020,Febrero,1.0,1.0
89,España,No hubo tentativa,Sí,41-50 años,41-50 años,Galicia,Pareja en fase de separación,2010,Agosto,1.0,0.0
90,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunidad de Madrid,Pareja,2015,Mayo,1.0,1.0
