comunidad_autonoma,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Andalucía,11.0,11.0,14.0,5.0,7.0,12.0,15.0,10.0,9.0,11.0,17.0
Aragón,2.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0
Canarias,2.0,1.0,3.0,4.0,5.0,3.0,9.0,4.0,0.0,2.0,3.0
Cantabria,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Castilla y León,4.0,3.0,2.0,6.0,0.0,2.0,3.0,1.0,4.0,3.0,3.0
Castilla-La Mancha,4.0,0.0,1.0,1.0,6.0,2.0,0.0,4.0,1.0,7.0,2.0
Cataluña,4.0,13.0,6.0,6.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0
Ceuta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Comunidad Foral de Navarra,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
Comunidad de Madrid,9.0,7.0,4.0,3.0,7.0,5.0,6.0,3.0,7.0,7.0,7.0
Comunitat Valenciana,9.0,7.0,11.0,6.0,7.0,2.0,7.0,7.0,7.0,3.0,6.0
Extremadura,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Galicia,3.0,5.0,7.0,4.0,2.0,3.0,3.0,4.0,1.0,0.0,3.0
Illes Balears,2.0,3.0,1.0,6.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0
La Rioja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Melilla,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
País Vasco,1.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0
Principado de Asturias,1.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
Región de Murcia,0.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,1.0
